N,P,K,temperature,humidity,ph,rainfall,label
35,61,20,25.46137,60.163702,7.06175,67.112062,blackgram
73,43,39,26.545122,80.438517,6.662972,151.356869,jute
3,16,10,34.339205,94.355635,6.518168,107.449153,orange
28,90,18,23.733602,36.599558,5.873054,185.242814,pigeonpeas
23,68,20,33.416164,61.521415,5.987925,197.343105,pigeonpeas
115,17,46,29.914477,94.668592,6.696077,22.920107,muskmelon
28,42,21,28.989544,63.690103,4.742158,43.525162,mothbeans
120,13,53,24.972086,82.3883,6.78376,42.894558,watermelon
37,47,23,27.559899,82.896817,6.935397,57.427085,mungbean
116,18,51,26.893927,81.808201,6.454192,51.716898,watermelon
37,63,49,28.026897,90.973243,6.583807,245.349618,papaya
32,58,24,28.639441,89.719728,6.257667,57.328054,mungbean
30,52,16,28.493287,80.065733,6.260521,45.757752,mungbean
22,46,25,27.458069,82.71782,6.546394,62.070052,mungbean
8,11,43,23.114924,89.406032,6.967589,93.896894,pomegranate
20,16,10,23.913557,93.022161,6.342516,111.514962,orange
35,40,17,29.98746,58.421987,5.112301,44.947094,mothbeans
38,130,200,22.708486,94.802488,6.207682,114.870378,apple
93,25,35,26.86109,62.960594,7.079203,167.580175,coffee
39,14,29,25.381996,93.712465,5.80265,179.277948,coconut
69,59,21,18.967253,60.75089,6.185055,61.047503,maize
31,27,32,29.747227,96.003144,5.780964,219.39395,coconut
33,126,195,13.124711,84.338865,5.800684,72.421213,grapes
39,128,190,19.079531,80.609313,6.150943,72.310061,grapes
40,67,77,20.136234,18.463627,7.934094,95.619483,chickpea
33,62,79,18.502197,17.408973,7.335954,94.429058,chickpea
11,29,28,33.238053,48.756751,6.404517,81.919913,mango
23,73,16,15.054948,19.933734,5.681346,129.90747,kidneybeans
53,55,48,32.668267,90.690283,6.809819,154.840419,papaya
10,19,11,18.630823,90.988385,7.369379,104.096208,orange
20,41,20,27.329773,85.537142,7.054465,47.819448,mungbean
68,63,45,30.496879,93.868047,6.516686,224.791274,papaya
8,74,23,26.597784,68.857423,6.124899,92.744019,pigeonpeas
24,71,17,26.190135,61.131001,7.411025,70.980873,blackgram
37,69,52,23.908997,91.48133,6.591476,241.223854,papaya
114,8,49,29.718133,93.977137,6.038122,24.885062,muskmelon
37,69,16,26.709926,69.189971,6.957632,69.724551,blackgram
83,90,52,29.52869,79.577973,6.003338,115.932833,banana
119,49,60,24.233919,91.088954,5.058782,213.936836,rice
117,25,29,25.715362,68.033078,6.476336,183.199438,coffee
137,43,19,24.446689,79.979883,6.757508,95.783217,cotton
7,133,195,16.75889,82.261955,5.560901,68.245997,grapes
73,50,35,25.647412,81.865396,6.924416,191.347198,jute
26,61,77,17.529223,15.159418,7.370934,66.732491,chickpea
106,11,45,28.228287,90.146328,6.952242,24.093882,muskmelon
96,85,53,29.6396,76.770167,6.411426,110.660606,banana
36,140,191,13.431656,84.254433,5.548086,72.092089,grapes
87,7,53,24.067652,84.952574,6.072741,42.189292,watermelon
110,10,52,29.668315,93.96581,6.101596,24.460753,muskmelon
6,81,21,23.217299,47.372099,6.483446,103.979475,pigeonpeas
99,57,43,23.100658,72.145402,7.038753,176.260264,jute
11,69,18,31.882902,37.986913,7.092173,154.962996,pigeonpeas
139,54,22,24.917052,84.552545,7.810729,77.590224,cotton
114,16,50,24.857806,88.722931,6.419384,46.980951,watermelon
13,17,39,18.489149,92.08387,6.013223,60.08124,pomegranate
117,40,34,27.987857,57.453619,6.876824,196.560944,coffee
27,18,33,27.658391,98.436155,5.829779,178.006902,coconut
80,60,17,22.814174,60.804961,5.95626,89.553269,maize
91,52,57,20.822723,87.760687,5.198102,266.023162,rice
16,46,24,28.346954,86.159316,7.045771,61.143013,mungbean
19,69,22,22.64633,21.776513,5.579257,96.857415,kidneybeans
85,7,45,25.181539,83.451356,6.672715,42.424676,watermelon
34,39,24,28.630206,85.10783,6.223694,59.582778,mungbean
4,141,196,22.449015,91.445313,5.736545,105.582396,apple
6,141,204,22.699045,91.094025,6.449003,105.882039,apple
84,9,54,25.733325,88.530698,6.695125,40.696052,watermelon
87,88,48,28.508392,75.228603,6.09036,108.606144,banana
7,55,16,25.078383,57.826227,5.899952,44.378513,mothbeans
6,58,18,29.485019,84.334316,6.635216,60.305165,mungbean
18,125,201,23.23856,91.399199,5.633731,102.993589,apple
3,40,21,27.490694,87.155426,6.6491,50.591505,mungbean
120,57,24,24.681774,78.526654,7.503827,90.944433,cotton
83,56,46,21.68993,89.937569,5.369095,259.903094,rice
59,69,49,25.19056,90.168701,6.736607,160.813035,papaya
114,50,17,24.165634,80.577464,7.249969,94.066109,cotton
54,48,46,31.424918,90.515602,6.826421,205.989378,papaya
23,75,83,18.492218,15.181112,6.19752,91.20121,chickpea
23,123,197,21.671511,92.41545,5.766824,102.51361,apple
25,6,36,24.876199,88.993594,6.587459,67.368955,pomegranate
15,37,16,28.534981,37.564271,7.572479,62.881995,mothbeans
95,43,54,24.597334,92.930939,5.145887,239.733229,rice
29,65,17,30.724114,64.467187,6.693564,74.326409,blackgram
36,33,35,27.487171,48.165721,6.898219,80.378258,mango
27,11,13,24.35183,94.05915,6.939034,107.2338,orange
77,40,44,23.618472,77.961732,6.690758,151.573392,jute
110,72,54,26.888088,77.196645,6.067567,103.646619,banana
35,54,54,30.052781,90.612582,6.765678,167.563987,papaya
90,30,31,25.115329,63.965337,6.247981,177.66361,coffee
138,47,21,25.262515,84.398443,7.457005,64.098244,cotton
29,18,33,29.33609,50.864076,5.92441,71.190456,mango
103,40,31,25.069355,53.023433,7.452645,172.550209,coffee
29,26,27,26.661838,90.890376,5.86851,175.997855,coconut
18,12,37,22.308578,94.850489,6.5891,83.925887,pomegranate
122,39,21,24.285271,77.932858,7.122822,65.067277,cotton
21,132,201,26.05182,84.994274,5.708528,69.366635,grapes
44,63,25,30.324856,62.394274,6.908427,72.210926,blackgram
33,77,81,18.396349,15.165165,6.82627,83.29885,chickpea
90,42,40,24.085877,75.458606,7.06389,160.142985,jute
37,61,80,19.187473,16.040604,6.137194,73.011766,chickpea
37,63,46,38.179885,94.111076,6.842796,232.625412,papaya
8,8,6,13.577421,94.357948,6.625625,107.253533,orange
127,60,22,23.38587,75.672867,6.847506,85.635353,cotton
86,86,47,29.130496,79.160065,5.9824,98.215954,banana
54,79,24,25.8261,67.851362,6.986003,71.321213,blackgram
81,13,46,28.497925,93.698877,6.845775,23.228134,muskmelon
61,55,53,34.091624,94.750033,6.721253,113.528386,papaya
20,122,196,22.345473,91.522858,6.443129,116.646146,apple
24,5,12,19.6788,93.789404,7.039082,109.552799,orange
24,13,44,22.146645,87.566308,6.952586,48.044463,pomegranate
80,37,16,26.68965,72.180053,5.728041,60.033211,maize
17,62,20,23.458565,65.187262,5.354781,193.585578,pigeonpeas
52,62,45,23.821955,90.139216,6.7666,162.476989,papaya
19,23,34,29.840318,53.225763,4.512228,98.222299,mango
33,11,37,19.789589,94.138082,6.662213,47.09839,pomegranate
42,47,49,40.831523,92.31135,6.881961,162.927788,papaya
27,131,199,13.731749,82.953296,6.188082,68.856201,grapes
116,56,43,24.402289,85.976514,5.094069,230.88387,rice
111,36,21,24.171023,75.576883,7.020025,73.088206,cotton
76,46,45,24.027283,72.682064,6.033586,152.075281,jute
25,39,19,31.013089,35.715656,3.811369,40.734544,mothbeans
29,73,19,26.260629,60.155579,6.144712,49.217861,lentil
19,59,24,27.384256,33.348307,6.129525,51.0771,mothbeans
7,79,24,24.156528,18.134624,5.784936,86.518522,kidneybeans
93,73,51,28.913037,79.224658,6.415661,98.138391,banana
27,42,19,24.312233,33.293294,7.143327,52.472353,mothbeans
40,140,200,21.492975,93.24967,5.651225,110.142622,apple
23,42,17,28.222975,53.50305,8.321626,40.111496,mothbeans
84,16,45,24.995373,89.243405,6.187519,47.852733,watermelon
3,21,30,27.361374,91.023223,6.374587,208.226302,coconut
44,73,84,19.223751,18.449619,7.541088,96.788693,chickpea
24,70,21,27.120912,64.585852,6.739116,59.323197,lentil
23,63,18,19.274614,18.006323,5.534907,80.384215,kidneybeans
35,45,24,27.970459,45.08879,5.423429,37.450668,mothbeans
2,136,192,14.643258,84.644069,5.552232,73.617287,grapes
3,139,194,28.19416,81.106028,6.196322,66.122935,grapes
36,6,11,34.285646,94.565571,6.046438,105.404142,orange
95,55,45,21.202972,86.739375,5.456703,280.702695,rice
28,70,23,33.828834,66.667623,6.78813,73.732451,blackgram
112,95,46,29.207063,79.897896,5.551411,108.03269,banana
101,56,17,24.637987,81.558517,7.284701,87.71432,cotton
97,55,22,23.032564,73.44597,6.238542,103.691609,maize
14,76,19,28.327186,69.06445,6.5383,51.904806,lentil
105,52,52,26.606237,90.227304,5.539262,232.443834,rice
93,45,52,20.231522,80.234091,5.643194,188.168889,rice
24,27,28,28.368437,95.5758,6.041071,224.918764,coconut
8,46,20,24.090694,34.988227,7.55795,64.784603,mothbeans
103,57,20,25.838299,75.07153,6.544117,68.186964,cotton
101,32,31,24.843924,67.38577,6.781884,182.757405,coffee
41,60,53,29.896884,93.681942,6.552892,55.442724,papaya
96,20,27,24.641349,60.352864,6.919658,185.390934,coffee
9,58,22,28.418096,82.609086,6.370479,61.03741,mungbean
24,37,16,28.572737,83.808841,6.203866,61.853658,mungbean
2,16,8,31.502439,91.21466,6.870454,102.604948,orange
0,18,45,24.339289,87.154616,6.754658,69.2351,pomegranate
20,60,80,20.771118,17.865792,7.4286,82.285292,chickpea
11,75,16,22.548653,63.424335,6.646822,62.198019,lentil
93,52,17,26.964641,57.004669,6.800672,74.713308,maize
40,24,29,34.521357,51.230922,4.677688,67.018075,mango
30,12,9,29.023223,93.285596,6.61991,102.677959,orange
89,27,32,26.021788,55.825879,7.403824,172.815872,coffee
92,51,52,24.020277,89.798012,5.978155,231.770212,rice
60,64,45,40.875067,92.235095,6.548374,170.34983,papaya
35,64,47,37.968799,90.11528,6.987941,145.102946,papaya
17,28,27,27.857924,97.410891,6.294794,203.242014,coconut
98,52,57,23.200564,94.278117,5.863627,278.492054,rice
123,52,16,23.258907,76.783832,7.059303,93.00962,cotton
17,55,16,25.821709,55.46039,7.709091,51.890715,mothbeans
5,21,26,28.481284,92.359391,6.196828,185.880438,coconut
119,58,46,26.944079,83.741301,5.158859,294.114313,rice
27,139,202,16.675742,80.956947,5.79405,70.347341,grapes
14,128,202,23.850008,92.519551,6.290257,123.609627,apple
108,87,54,29.967793,82.995639,5.641549,114.06607,banana
40,23,31,29.373967,97.182178,5.630311,211.520789,coconut
92,93,51,27.915218,78.658271,6.456924,105.765404,banana
70,50,16,26.782955,73.651224,6.087695,72.10893,maize
1,29,31,35.891069,53.853642,5.793918,75.098041,mango
59,50,51,24.25061,93.627862,6.887093,67.727694,papaya
53,49,52,42.723245,92.492402,6.560881,217.131001,papaya
118,46,43,26.204133,86.695916,6.361813,199.227656,rice
31,67,49,24.516313,93.556113,6.736178,120.935473,papaya
90,14,52,27.877274,92.730737,6.78708,26.419038,muskmelon
125,42,20,23.984698,76.429661,5.952149,67.432392,cotton
14,62,20,18.47388,64.308684,6.201417,61.106198,lentil
20,70,18,21.380846,22.095764,5.950781,64.716633,kidneybeans
58,70,19,26.624755,67.210893,7.096333,67.228928,blackgram
94,21,32,23.37486,67.371637,6.221607,173.049995,coffee
60,56,36,23.925178,76.699553,6.509534,186.086878,jute
35,15,6,20.936153,92.983794,6.935599,114.740133,orange
32,14,30,27.534269,90.682859,6.187513,185.510222,coconut
118,86,49,26.071683,81.651239,6.420129,110.677828,banana
29,65,17,31.929176,62.181557,6.735453,66.973883,blackgram
2,138,198,23.753777,90.912694,5.876669,100.591925,apple
97,53,17,22.351663,57.80632,6.038493,106.855852,maize
0,26,26,31.015149,48.660343,4.755693,87.389751,mango
21,65,79,20.347961,15.330944,6.987891,97.536656,chickpea
30,26,30,29.211442,91.15175,6.419636,168.073717,coconut
95,20,50,28.391262,92.07717,6.579339,24.285365,muskmelon
96,31,33,24.643766,54.734683,7.319768,169.85185,coffee
19,14,40,23.495622,85.062925,6.281064,78.094303,pomegranate
16,17,5,14.328596,93.147686,7.115133,117.047104,orange
15,144,197,15.347972,84.809987,6.199519,71.964425,grapes
53,62,49,30.552389,91.958945,6.581282,48.812184,papaya
44,66,82,18.462705,16.372464,6.461189,77.040356,chickpea
115,49,54,22.793177,93.560666,6.035038,263.954647,rice
117,9,49,24.672975,86.460991,6.377303,43.587627,watermelon
29,14,6,26.234026,91.55271,7.11204,109.779385,orange
8,64,24,23.583981,21.231476,5.683626,144.517052,kidneybeans
40,19,13,11.043813,93.773843,6.923825,114.916293,orange
19,12,12,28.064629,92.09178,6.790033,109.313034,orange
4,68,23,25.128959,68.786531,6.102147,53.562814,lentil
67,46,18,22.698562,55.703201,6.859347,100.818215,maize
12,33,34,34.235471,50.178423,4.831114,96.231873,mango
1,71,25,24.103958,22.09264,5.651774,89.69648,kidneybeans
3,14,37,19.318405,94.798315,6.384521,73.970858,pomegranate
22,21,28,26.854875,98.843666,6.158321,219.137194,coconut
24,43,23,24.725366,41.367505,7.849755,53.087963,mothbeans
72,49,25,21.604037,68.317428,6.101319,98.409733,maize
15,73,16,21.459207,62.16273,6.081793,45.192228,lentil
26,57,22,30.884369,83.007789,6.457325,58.2885,mungbean
40,48,45,35.463432,92.967722,6.607606,125.80685,papaya
6,62,22,19.128966,22.123689,5.513195,145.689881,kidneybeans
27,10,13,21.066419,92.947008,6.984447,106.502604,orange
47,60,20,33.853356,64.173045,6.912604,69.533103,blackgram
84,19,28,25.053741,50.407646,6.055397,154.685697,coffee
35,37,18,30.320227,88.445044,6.521263,58.04137,mungbean
89,8,52,27.992407,92.273896,6.044377,24.229389,muskmelon
28,24,31,27.604133,90.645444,5.955552,158.494723,coconut
2,124,194,27.271516,84.441345,6.466297,67.626457,grapes
21,25,34,27.956545,90.772845,5.87496,177.044479,coconut
32,15,42,24.936304,93.366193,6.391517,105.309922,pomegranate
1,63,19,31.897555,40.755129,5.417897,123.602028,pigeonpeas
60,57,54,32.729082,90.132208,6.860911,95.37087,papaya
18,66,15,26.226445,64.486591,6.724231,41.407112,lentil
50,52,51,35.810443,90.724193,6.880486,231.23466,papaya
94,77,48,27.040891,83.268075,6.210936,115.671059,banana
40,61,82,20.302723,18.481003,7.024698,81.030734,chickpea
15,39,17,25.606594,47.61628,3.623454,63.919028,mothbeans
43,69,46,27.834568,91.496138,6.680621,60.255527,papaya
31,20,14,10.79995,90.110352,6.947586,102.556044,orange
9,65,20,27.306442,68.05326,6.79057,62.141131,lentil
6,6,40,24.173234,88.060647,6.932251,99.895711,pomegranate
52,76,22,25.049606,69.173783,6.837558,65.288188,blackgram
92,57,52,20.092658,85.208503,5.222211,297.819527,rice
19,7,10,19.247993,90.426611,6.52562,119.184412,orange
101,48,45,25.419636,86.842255,5.852651,182.254776,rice
33,79,79,17.42673,16.452643,6.592256,82.269244,chickpea
23,88,23,35.687885,49.002405,6.65795,123.995454,pigeonpeas
9,80,21,24.283774,63.339155,5.328807,118.66024,pigeonpeas
91,31,30,23.136755,68.238427,6.732786,193.893324,coffee
22,70,82,19.952606,19.438965,7.599731,75.882563,chickpea
15,131,201,25.248937,80.025814,6.098664,65.297451,grapes
6,20,26,25.26704,91.940292,5.791617,182.11092,coconut
34,74,84,19.468141,19.327006,7.402514,67.391773,chickpea
2,125,197,21.597807,80.904838,5.582394,73.737207,grapes
97,16,28,24.473764,52.567723,6.210453,194.804364,coffee
22,7,37,23.270711,90.347855,6.639967,96.256417,pomegranate
37,10,36,19.445631,88.065371,6.86347,76.180572,pomegranate
110,91,52,25.83893,82.35959,6.057852,97.716824,banana
21,63,81,17.900006,19.023958,6.653884,68.669197,chickpea
36,74,22,30.614162,68.457396,7.082474,70.781104,blackgram
29,71,22,19.440281,65.811873,4.78877,131.021761,pigeonpeas
40,43,17,30.446647,31.577444,3.931657,43.925563,mothbeans
32,128,203,21.36482,92.531747,6.408772,113.11551,apple
3,17,43,23.053843,94.965507,6.992117,48.45653,pomegranate
9,135,198,21.704014,91.639185,5.563576,118.659656,apple
31,61,18,25.462585,64.300271,6.7258,72.036476,blackgram
20,133,198,21.50557,91.739806,5.605868,118.029574,apple
90,11,53,24.134674,84.887778,6.193506,40.90404,watermelon
24,66,18,24.180044,23.595139,5.601678,111.304219,kidneybeans
4,12,33,26.812028,93.262573,6.03513,222.68651,coconut
113,73,53,27.553517,78.231271,5.608379,109.805693,banana
20,79,15,24.338464,23.416977,5.679431,141.79889,kidneybeans
27,123,199,21.664551,91.227917,6.464786,100.866893,apple
76,44,20,26.00154,69.745572,5.507729,94.707893,maize
37,59,16,30.677069,86.577627,6.830969,45.656867,mungbean
12,41,24,31.27483,42.146768,7.612209,40.278129,mothbeans
22,17,45,19.079658,86.504173,6.636216,37.722828,pomegranate
43,68,51,39.040031,92.667904,6.795242,201.012378,papaya
32,11,25,28.885669,95.902986,6.171456,197.890093,coconut
9,18,34,25.309623,99.591366,6.306593,222.016632,coconut
84,15,32,26.314082,65.650333,6.007414,164.207083,coffee
113,60,58,25.351934,90.473727,5.503247,197.722269,rice
32,138,201,21.314883,90.330212,5.883981,123.131297,apple
9,20,44,18.477262,87.302851,6.642261,49.910237,pomegranate
46,54,48,23.46143,94.03789,6.7255,94.549737,papaya
63,42,17,26.685855,58.024604,6.708194,89.305397,maize
6,49,17,27.593874,60.359807,5.466877,55.579172,mothbeans
17,19,45,18.678398,94.283331,6.797996,88.425308,pomegranate
0,21,33,35.759306,52.010542,6.009636,86.218195,mango
108,18,49,29.448663,90.057746,6.787698,25.259538,muskmelon
20,9,11,13.623532,94.65249,7.132566,103.013171,orange
113,19,49,26.660861,88.588574,6.573804,42.213617,watermelon
116,5,46,28.55451,93.413205,6.41032,22.403578,muskmelon
108,9,51,27.163383,91.485737,6.202789,23.870146,muskmelon
36,69,22,25.612496,63.673186,6.70623,70.187952,blackgram
15,19,27,29.49957,96.391172,5.905033,213.540491,coconut
102,9,52,24.515293,88.451049,6.76091,45.648921,watermelon
91,11,49,26.1024,81.047402,6.841626,42.04191,watermelon
12,31,31,31.607774,46.598461,6.313275,76.188244,mango
26,78,20,23.812742,64.631677,6.959045,63.520467,lentil
56,49,53,32.175111,93.344527,6.79389,69.957713,papaya
71,35,19,20.776752,73.843694,6.832398,103.015534,maize
2,84,25,35.906277,59.419352,4.870781,153.368444,pigeonpeas
100,49,22,25.879207,83.468461,7.508873,73.199491,cotton
109,6,49,24.374816,89.846587,6.236246,45.466933,watermelon
108,23,27,25.66215,57.482335,6.160068,169.306893,coffee
133,48,20,23.281516,78.345305,7.551843,68.011276,cotton
40,72,85,19.835532,14.676509,7.11682,90.136528,chickpea
22,61,16,18.478993,64.295522,6.351974,108.692153,pigeonpeas
19,8,33,29.587394,93.404902,5.52207,214.456477,coconut
131,40,16,24.78505,76.656249,5.949851,62.421936,cotton
86,17,50,25.343789,87.548422,6.470689,49.177598,watermelon
120,38,21,24.195087,75.399473,7.45171,81.269318,cotton
34,127,198,22.934025,94.974227,5.730766,105.51934,apple
93,45,44,24.166661,78.916768,7.234319,180.737836,jute
26,66,22,33.445445,65.928978,7.022985,66.09609,blackgram
85,36,44,25.118471,78.019903,7.136979,155.127216,jute
118,57,23,25.024025,77.51873,5.910886,60.868806,cotton
22,134,203,23.086544,91.229021,5.657506,122.596993,apple
93,34,33,23.458241,51.746711,6.132867,151.670874,coffee
20,13,36,20.461254,93.914633,6.690215,89.87531,pomegranate
21,73,20,16.145882,21.78156,5.815952,146.032108,kidneybeans
99,12,51,27.503821,90.844611,6.415449,26.062173,muskmelon
14,66,22,17.593415,24.748143,5.830974,66.190006,kidneybeans
29,11,44,21.395475,87.825514,6.549445,102.913683,pomegranate
21,27,27,26.739384,95.827247,5.58097,221.380249,coconut
86,48,19,24.970509,57.81915,6.951007,103.05615,maize
88,55,17,21.366564,63.275604,6.52957,74.794599,maize
37,123,196,22.935606,92.58595,6.403578,120.048798,apple
104,8,53,26.081835,87.989117,6.937896,53.333019,watermelon
5,89,20,36.613623,37.582955,5.951321,108.243902,pigeonpeas
29,137,192,11.00788,84.429199,5.514267,71.797639,grapes
66,43,39,24.407331,81.911402,6.785327,175.054875,jute
95,49,47,26.793456,82.001591,5.145206,221.207007,rice
14,138,199,22.410204,91.046172,6.238954,100.265011,apple
15,66,17,17.779354,20.228821,5.864474,111.227638,kidneybeans
101,74,51,25.164514,79.90675,5.89074,98.906185,banana
91,15,52,29.910857,93.517539,6.421915,22.455395,muskmelon
19,125,194,23.009723,81.627194,6.224296,71.244105,grapes
114,38,21,24.860175,76.360119,6.336162,79.505052,cotton
9,76,19,20.082714,23.512265,5.723939,146.959902,kidneybeans
6,46,16,30.73468,84.877459,7.079643,45.762318,mungbean
93,95,51,27.098735,84.156914,5.861285,113.678644,banana
3,61,16,20.643769,67.855827,6.733681,46.117839,lentil
28,70,15,25.615963,61.613614,6.445405,195.838785,pigeonpeas
14,64,21,24.651466,65.004937,6.058582,59.43908,lentil
115,86,50,29.01997,77.061742,5.792292,99.317332,banana
29,66,23,23.049079,68.621293,6.662787,40.177311,lentil
21,42,21,27.188849,59.880236,8.513857,39.437997,mothbeans
2,80,19,20.315785,69.700228,6.825182,63.243089,lentil
94,49,38,25.77313,87.425533,6.636165,199.603325,jute
102,55,19,23.50072,80.933174,6.253222,94.774712,cotton
8,61,19,24.929144,64.964981,6.162788,49.288637,lentil
69,66,47,41.838517,91.553377,6.721156,131.111521,papaya
28,130,201,29.147407,82.331243,5.988285,70.290608,grapes
117,39,32,23.01015,53.622801,6.037946,155.522181,coffee
112,8,46,27.543981,91.711521,6.460683,28.89387,muskmelon
86,44,16,20.86541,58.362842,6.3342,75.901432,maize
88,79,46,29.676622,84.103814,5.938193,107.310017,banana
23,10,40,18.912742,87.720772,6.65513,38.083325,pomegranate
115,7,54,27.591042,92.843067,6.931015,25.644932,muskmelon
89,37,20,26.445708,59.572931,6.515712,89.644014,maize
37,15,41,22.981187,91.637235,6.767478,77.931973,pomegranate
113,14,47,26.459948,84.608855,6.010879,42.299451,watermelon
98,36,16,24.806585,56.675827,6.274186,70.993039,maize
38,49,54,35.530591,91.312113,6.630625,248.629619,papaya
10,71,21,24.409503,22.029439,5.807184,66.107024,kidneybeans
26,144,202,21.235423,93.584022,6.473876,109.768236,apple
25,76,18,32.329053,64.047577,7.247629,74.003383,blackgram
93,58,18,21.325712,62.597878,6.340676,93.410911,maize
24,76,17,22.368876,61.563131,6.0901,53.85483,lentil
82,21,29,25.364015,59.108733,6.799431,170.887772,coffee
47,70,24,27.580447,68.519159,6.674222,67.619552,blackgram
111,87,46,27.656233,76.986952,6.478407,113.465634,banana
1,22,32,31.091609,54.42869,5.626436,69.446128,mango
99,40,29,27.059448,61.506652,7.4077,187.522634,coffee
85,57,56,23.983705,86.107749,5.10375,263.691453,rice
35,41,20,31.438194,53.77025,7.793374,51.792938,mothbeans
90,48,51,26.023858,90.905664,5.405492,195.777936,rice
26,31,34,27.060964,45.27735,5.807913,81.310543,mango
29,64,19,27.387758,64.411249,6.383752,175.202307,pigeonpeas
107,57,17,22.009057,79.987864,7.778157,67.1413,cotton
87,75,55,27.066538,78.959673,6.257018,96.568492,banana
137,59,15,25.610175,80.414799,7.584586,77.05859,cotton
11,134,196,21.140618,91.863837,5.679284,112.205081,apple
24,68,23,31.160571,45.980818,4.730392,113.579548,pigeonpeas
31,14,28,27.657486,94.925604,6.118883,150.336998,coconut
22,70,16,17.484255,19.937564,5.561773,101.673994,kidneybeans
62,43,18,26.521265,71.903082,6.074146,61.238453,maize
35,13,15,20.943744,91.248643,7.302343,117.640423,orange
2,13,26,27.007736,91.735518,5.569137,201.757363,coconut
17,19,9,27.833109,93.01189,6.545921,104.557665,orange
23,7,38,21.865486,89.012598,6.715995,52.349134,pomegranate
2,62,21,22.414132,69.957142,6.820659,63.161961,lentil
109,71,55,27.366593,75.60997,6.491423,109.259418,banana
23,15,12,16.303596,92.594274,6.506271,118.533477,orange
30,76,15,26.834801,68.188661,7.036427,71.461075,blackgram
21,46,17,28.423699,39.65698,6.977855,41.00328,mothbeans
115,38,27,26.582139,61.328852,6.846184,176.511055,coffee
36,40,24,29.966433,81.202416,6.70215,50.358364,mungbean
18,72,23,29.254275,67.482562,6.171625,63.866279,lentil
44,67,46,26.019193,92.206979,6.523836,96.597868,papaya
91,86,55,29.11366,77.009265,6.210063,108.909694,banana
15,16,27,28.22863,45.127386,6.047834,68.463109,mango
3,73,24,15.932125,23.275761,5.845106,137.999452,kidneybeans
20,73,79,20.592351,15.928838,6.94837,83.016849,chickpea
11,12,208,18.863007,85.618933,6.18872,51.921596,pomegranate
87,52,38,25.16737,77.681838,6.668404,161.429456,jute
26,13,36,20.000041,85.317032,6.761594,95.487757,pomegranate
10,69,24,22.25937,61.729857,6.472094,56.31479,lentil
21,14,40,18.074806,88.487389,6.790462,61.017173,pomegranate
11,15,42,22.622304,88.531209,6.519797,57.612311,pomegranate
29,122,197,21.629705,93.128857,5.701762,107.08893,apple
23,63,78,18.195001,15.530383,7.501073,99.930798,chickpea
75,35,17,20.864102,72.175549,6.187755,82.229364,maize
99,92,51,26.875507,75.892463,5.998586,117.967583,banana
68,66,51,40.634667,91.884418,6.749838,57.073506,papaya
83,42,40,25.828339,91.672351,6.305018,297.434201,rice
0,27,30,27.895596,92.318725,6.276039,178.912814,coconut
71,39,37,26.770748,85.881621,6.552903,160.151235,jute
24,9,45,19.604095,88.97114,6.293388,83.259429,pomegranate
23,67,24,28.096151,65.242117,6.475876,41.46156,lentil
16,68,21,28.534146,58.68741,5.562418,150.061528,pigeonpeas
129,47,16,25.628949,75.746536,6.915656,85.118611,cotton
2,74,22,23.621663,21.55631,5.730547,146.860469,kidneybeans
12,40,16,29.005687,47.699277,5.026515,36.653736,mothbeans
24,74,83,17.231637,15.748333,6.076089,98.479044,chickpea
18,37,19,30.730241,64.056618,8.993031,39.866852,mothbeans
37,120,198,19.161291,80.950698,5.928147,67.96892,grapes
37,76,77,18.660501,17.11991,6.903614,92.994048,chickpea
55,57,48,32.416861,90.474519,6.693001,169.750349,papaya
102,20,54,28.156884,94.777413,6.765342,25.255027,muskmelon
2,77,17,20.410206,63.908539,6.629486,54.656494,lentil
8,10,36,21.836584,90.592316,6.623373,52.276428,pomegranate
68,63,47,27.859781,92.385553,6.537419,228.595061,papaya
82,20,52,24.756859,83.770439,6.888698,53.74079,watermelon
120,18,27,24.423056,62.626023,6.466821,181.467666,coffee
105,41,56,24.573948,90.895137,5.805385,193.257253,rice
27,8,36,20.155208,85.193362,6.630022,59.968166,pomegranate
83,48,25,21.274603,70.758315,6.332941,79.781683,maize
5,57,20,31.737861,85.373212,6.969226,64.442278,mungbean
46,60,49,40.030242,93.792935,6.523369,174.687841,papaya
88,13,54,25.447976,87.421332,6.354889,44.235839,watermelon
28,40,18,28.419682,81.523692,6.335685,47.89827,mungbean
97,55,165,26.132926,75.20996,6.651222,181.159532,jute
15,17,28,28.203655,53.020843,5.69554,71.44523,mango
5,50,17,26.693771,44.309105,4.255266,63.892808,mothbeans
96,45,50,22.172666,85.595523,5.787456,270.071403,rice
16,35,33,35.997375,47.991703,4.937697,71.486138,mango
36,55,24,30.693215,31.463371,7.442441,55.929106,mothbeans
4,19,15,16.283571,90.859329,7.034421,119.874041,orange
12,140,196,10.956933,83.026542,6.382805,66.758581,grapes
24,84,22,28.296782,56.930444,4.760641,141.844892,pigeonpeas
11,124,202,23.96549,80.538864,6.001792,73.934768,grapes
34,136,199,10.286199,82.041024,5.571414,69.009127,grapes
21,63,24,29.703999,60.507976,7.110443,69.56007,blackgram
18,88,22,32.579856,68.035724,6.402273,153.550404,pigeonpeas
37,70,18,33.088341,61.206649,6.671089,74.999566,blackgram
108,59,60,23.162752,81.063047,5.439191,198.282565,rice
